image,class_id,similarity_individual,similarity_class,difference,individual_better
image_07202.jpg,7,0.12783,0.12525,0.00258,True
image_07203.jpg,7,0.13066,0.13299,-0.00233,False
image_07204.jpg,7,0.1227,0.12918,-0.00648,False
image_07205.jpg,7,0.13278,0.13561,-0.00282,False
image_07206.jpg,7,0.13341,0.13086,0.00255,True
image_07207.jpg,7,0.11457,0.12534,-0.01077,False
image_07208.jpg,7,0.12808,0.12478,0.0033,True
image_07209.jpg,7,0.14397,0.14051,0.00346,True
image_07210.jpg,7,0.12713,0.1221,0.00502,True
image_07212.jpg,7,0.15062,0.12945,0.02117,True
image_07213.jpg,7,0.13692,0.12309,0.01383,True
image_07214.jpg,7,0.14318,0.11731,0.02587,True
image_07217.jpg,7,0.13149,0.13086,0.00063,True
image_07220.jpg,7,0.14632,0.13263,0.01369,True
image_07221.jpg,7,0.129,0.13183,-0.00283,False
image_07222.jpg,7,0.11594,0.11678,-0.00084,False
image_07223.jpg,7,0.13813,0.14158,-0.00345,False
image_07224.jpg,7,0.10932,0.11571,-0.0064,False
image_07225.jpg,7,0.11569,0.12161,-0.00592,False
image_07226.jpg,7,0.15733,0.12349,0.03384,True
image_07227.jpg,7,0.1328,0.12235,0.01045,True
image_07228.jpg,7,0.12131,0.12583,-0.00452,False
image_07229.jpg,7,0.11237,0.1201,-0.00772,False
image_07230.jpg,7,0.13238,0.129,0.00338,True
image_07231.jpg,7,0.12127,0.1245,-0.00323,False
image_07232.jpg,7,0.11242,0.1166,-0.00418,False
image_07233.jpg,7,0.11964,0.12721,-0.00757,False
image_08100.jpg,7,0.06325,0.10856,-0.04531,False
image_08101.jpg,7,0.12413,0.12547,-0.00134,False
image_08102.jpg,7,0.11788,0.11389,0.00399,True
image_08103.jpg,7,0.13324,0.12146,0.01178,True
image_03284.jpg,8,0.14688,0.12974,0.01714,True
image_03285.jpg,8,0.13182,0.13439,-0.00257,False
image_03286.jpg,8,0.12243,0.14973,-0.0273,False
image_03287.jpg,8,0.09335,0.13714,-0.04379,False
image_03288.jpg,8,0.12972,0.13215,-0.00243,False
image_03289.jpg,8,0.16866,0.1574,0.01125,True
image_03290.jpg,8,0.13786,0.13586,0.002,True
image_03292.jpg,8,0.1443,0.13756,0.00674,True
image_03293.jpg,8,0.15186,0.12168,0.03017,True
image_03294.jpg,8,0.14606,0.14948,-0.00342,False
image_03296.jpg,8,0.12904,0.12085,0.00819,True
image_03297.jpg,8,0.14542,0.13761,0.00781,True
image_03298.jpg,8,0.14144,0.13657,0.00487,True
image_03300.jpg,8,0.13768,0.13103,0.00665,True
image_03301.jpg,8,0.14332,0.14027,0.00305,True
image_03302.jpg,8,0.13927,0.141,-0.00173,False
image_03303.jpg,8,0.14791,0.13204,0.01587,True
image_03304.jpg,8,0.11006,0.12508,-0.01502,False
image_03305.jpg,8,0.14487,0.14591,-0.00104,False
image_03306.jpg,8,0.13899,0.13465,0.00434,True
image_03307.jpg,8,0.11734,0.13246,-0.01512,False
image_03308.jpg,8,0.09424,0.1274,-0.03316,False
image_03309.jpg,8,0.12764,0.14556,-0.01792,False
image_03310.jpg,8,0.12766,0.14432,-0.01666,False
image_03311.jpg,8,0.18246,0.12371,0.05875,True
image_03312.jpg,8,0.16041,0.15349,0.00692,True
image_03315.jpg,8,0.11598,0.13959,-0.02362,False
image_03316.jpg,8,0.12897,0.14237,-0.0134,False
image_03317.jpg,8,0.1407,0.13198,0.00872,True
image_03318.jpg,8,0.11606,0.11825,-0.00219,False
image_03321.jpg,8,0.12948,0.1432,-0.01372,False
image_03322.jpg,8,0.11815,0.13818,-0.02003,False
image_03323.jpg,8,0.15936,0.13695,0.02241,True
image_03324.jpg,8,0.1356,0.13298,0.00262,True
image_03325.jpg,8,0.16133,0.13777,0.02356,True
image_03326.jpg,8,0.1429,0.14386,-0.00097,False
image_03327.jpg,8,0.14082,0.13699,0.00383,True
image_03328.jpg,8,0.11328,0.13979,-0.02651,False
image_03329.jpg,8,0.13978,0.14424,-0.00447,False
image_03331.jpg,8,0.1259,0.13621,-0.01031,False
image_03332.jpg,8,0.14293,0.14382,-0.00088,False
image_03333.jpg,8,0.18221,0.1472,0.03501,True
image_03334.jpg,8,0.1165,0.14903,-0.03253,False
image_03335.jpg,8,0.1172,0.14763,-0.03044,False
